timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686592325002,1812,outlet,200,OK,Outlets Test 1-1,text,true,,4255279,52102,1,1,https://www.webstaurantstore.com/outlet.html,76,0,39
1686592325002,76,http://www.webstaurantstore.com/outlet/,301,Moved Permanently,Outlets Test 1-1,,true,,688,133,1,1,http://www.webstaurantstore.com/outlet/,76,0,39
1686592325078,101,https://www.webstaurantstore.com/outlet/,301,Moved Permanently,Outlets Test 1-1,,true,,473,358,1,1,https://www.webstaurantstore.com/outlet/,101,0,30
1686592325179,784,https://www.webstaurantstore.com/outlet.html,200,OK,Outlets Test 1-1,text,true,,1963654,362,1,1,https://www.webstaurantstore.com/outlet.html,698,0,33
1686592325973,24,https://www.webstaurantstore.com/build/tailwind.3642.dd6e0d0c066f7c5f3b07.css,200,OK,Outlets Test 1-1,text,true,,164196,395,1,1,https://www.webstaurantstore.com/build/tailwind.3642.dd6e0d0c066f7c5f3b07.css,22,0,0
1686592325973,72,https://www.webstaurantstore.com/build/zest.1526.6cebfaf95e725b563bc1.css,200,OK,Outlets Test 1-1,text,true,,34758,391,1,1,https://www.webstaurantstore.com/build/zest.1526.6cebfaf95e725b563bc1.css,67,0,39
1686592325973,76,https://www.webstaurantstore.com/build/styles-text-fonts.218b11e9fc2db029dcc1.css,200,OK,Outlets Test 1-1,text,true,,1110,399,1,1,https://www.webstaurantstore.com/build/styles-text-fonts.218b11e9fc2db029dcc1.css,76,0,44
1686592325973,62,https://www.webstaurantstore.com/build/styles-icon-fonts.e8d2eefdf5b557eb497b.css,200,OK,Outlets Test 1-1,text,true,,3971,399,1,1,https://www.webstaurantstore.com/build/styles-icon-fonts.e8d2eefdf5b557eb497b.css,62,0,37
1686592325973,96,https://www.webstaurantstore.com/build/common-critical-styles.2845.4da626b5ad10a2164f28.css,200,OK,Outlets Test 1-1,text,true,,73524,409,1,1,https://www.webstaurantstore.com/build/common-critical-styles.2845.4da626b5ad10a2164f28.css,77,0,43
1686592325973,113,https://www.webstaurantstore.com/build/styles-bottom.66ce4f974a10ac7ae823.css,200,OK,Outlets Test 1-1,text,true,,414435,395,1,1,https://www.webstaurantstore.com/build/styles-bottom.66ce4f974a10ac7ae823.css,62,0,38
1686592325997,99,https://cdnimg.webstaurantstore.com/uploads/design/2016/2/android-chrome-192x192.png?v=1,200,OK,Outlets Test 1-1,bin,true,,6492,406,1,1,https://cdnimg.webstaurantstore.com/uploads/design/2016/2/android-chrome-192x192.png?v=1,99,0,55
1686592326035,101,https://cdnimg.webstaurantstore.com/uploads/design/2016/2/favicon.ico?v=1,200,OK,Outlets Test 1-1,bin,true,,1727,391,1,1,https://cdnimg.webstaurantstore.com/uploads/design/2016/2/favicon.ico?v=1,101,0,77
1686592326045,105,https://cdnimg.webstaurantstore.com/uploads/design/2020/8/outlet-bg.jpg,200,OK,Outlets Test 1-1,bin,true,,37124,389,1,1,https://cdnimg.webstaurantstore.com/uploads/design/2020/8/outlet-bg.jpg,98,0,59
1686592326049,89,https://cdnimg.webstaurantstore.com/uploads/design/2021/6/scratch-dent-logo-long.svg,200,OK,Outlets Test 1-1,text,true,,5632,402,1,1,https://cdnimg.webstaurantstore.com/uploads/design/2021/6/scratch-dent-logo-long.svg,89,0,51
1686592326069,102,https://cdnimg.webstaurantstore.com/uploads/design/2021/1/outlet-image.png,200,OK,Outlets Test 1-1,bin,true,,74796,392,1,1,https://cdnimg.webstaurantstore.com/uploads/design/2021/1/outlet-image.png,86,0,58
1686592326086,128,https://www.webstaurantstore.com/images/outlet/medium/63013/316787.jpg,200,OK,Outlets Test 1-1,bin,true,,5694,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/63013/316787.jpg,128,0,0
1686592326096,85,https://www.webstaurantstore.com/images/outlet/medium/63011/316777.jpg,200,OK,Outlets Test 1-1,bin,true,,4192,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/63011/316777.jpg,85,0,47
1686592326136,33,https://www.webstaurantstore.com/images/outlet/medium/63007/316725.jpg,200,OK,Outlets Test 1-1,bin,true,,4559,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/63007/316725.jpg,33,0,0
1686592326138,24,https://www.webstaurantstore.com/images/outlet/medium/63005/316697.jpg,200,OK,Outlets Test 1-1,bin,true,,5874,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/63005/316697.jpg,24,0,0
1686592326150,41,https://www.webstaurantstore.com/images/outlet/medium/63003/316663.jpg,200,OK,Outlets Test 1-1,bin,true,,5316,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/63003/316663.jpg,41,0,0
1686592326162,26,https://www.webstaurantstore.com/images/outlet/medium/63001/316643.jpg,200,OK,Outlets Test 1-1,bin,true,,6430,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/63001/316643.jpg,25,0,0
1686592326169,33,https://www.webstaurantstore.com/images/outlet/medium/62995/316585.jpg,200,OK,Outlets Test 1-1,bin,true,,5196,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62995/316585.jpg,33,0,0
1686592326171,25,https://www.webstaurantstore.com/images/outlet/medium/62991/316557.jpg,200,OK,Outlets Test 1-1,bin,true,,4430,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62991/316557.jpg,25,0,0
1686592326181,21,https://www.webstaurantstore.com/images/outlet/medium/62989/316543.jpg,200,OK,Outlets Test 1-1,bin,true,,6782,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62989/316543.jpg,21,0,0
1686592326188,26,https://www.webstaurantstore.com/images/outlet/medium/62987/316533.jpg,200,OK,Outlets Test 1-1,bin,true,,4172,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62987/316533.jpg,25,0,0
1686592326191,26,https://www.webstaurantstore.com/images/outlet/medium/62985/316519.jpg,200,OK,Outlets Test 1-1,bin,true,,3950,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62985/316519.jpg,25,0,0
1686592326196,24,https://www.webstaurantstore.com/images/outlet/medium/62979/316473.jpg,200,OK,Outlets Test 1-1,bin,true,,4705,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62979/316473.jpg,24,0,0
1686592326202,31,https://www.webstaurantstore.com/images/outlet/medium/62977/316459.jpg,200,OK,Outlets Test 1-1,bin,true,,7083,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62977/316459.jpg,31,0,0
1686592326202,24,https://www.webstaurantstore.com/images/outlet/medium/62971/316405.jpg,200,OK,Outlets Test 1-1,bin,true,,5614,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62971/316405.jpg,23,0,0
1686592326214,28,https://www.webstaurantstore.com/images/outlet/medium/62963/316301.jpg,200,OK,Outlets Test 1-1,bin,true,,4010,388,1,1,https://www.webstaurantstore.com/images/outlet/medium/62963/316301.jpg,28,0,0
1686592326214,26,https://www.webstaurantstore.com/images/categories/new/cookingequipment_md.jpg,200,OK,Outlets Test 1-1,bin,true,,7212,396,1,1,https://www.webstaurantstore.com/images/categories/new/cookingequipment_md.jpg,26,0,0
1686592326217,27,https://www.webstaurantstore.com/images/categories/new/beverageequipment_md.jpg,200,OK,Outlets Test 1-1,bin,true,,7337,397,1,1,https://www.webstaurantstore.com/images/categories/new/beverageequipment_md.jpg,26,0,0
1686592326220,24,https://www.webstaurantstore.com/images/categories/new/holdingwarmingequip_md.jpg,200,OK,Outlets Test 1-1,bin,true,,6349,399,1,1,https://www.webstaurantstore.com/images/categories/new/holdingwarmingequip_md.jpg,24,0,0
1686592326226,25,https://www.webstaurantstore.com/images/categories/new/restaurantequipment_md.jpg,200,OK,Outlets Test 1-1,bin,true,,6130,399,1,1,https://www.webstaurantstore.com/images/categories/new/restaurantequipment_md.jpg,24,0,0
1686592326233,24,https://www.webstaurantstore.com/images/categories/new/refrigerationequipme_md.jpg,200,OK,Outlets Test 1-1,bin,true,,7790,400,1,1,https://www.webstaurantstore.com/images/categories/new/refrigerationequipme_md.jpg,24,0,0
1686592326240,26,https://www.webstaurantstore.com/images/categories/new/janitorialsupplies_md.jpg,200,OK,Outlets Test 1-1,bin,true,,6769,398,1,1,https://www.webstaurantstore.com/images/categories/new/janitorialsupplies_md.jpg,26,0,0
1686592326243,25,https://www.webstaurantstore.com/images/categories/new/smallwares_md.jpg,200,OK,Outlets Test 1-1,bin,true,,5184,390,1,1,https://www.webstaurantstore.com/images/categories/new/smallwares_md.jpg,24,0,0
1686592326244,23,https://www.webstaurantstore.com/images/categories/new/commercialconvovens_md.jpg,200,OK,Outlets Test 1-1,bin,true,,8664,399,1,1,https://www.webstaurantstore.com/images/categories/new/commercialconvovens_md.jpg,22,0,0
1686592326244,31,https://www.webstaurantstore.com/images/categories/new/commercialgasranges_md.jpg,200,OK,Outlets Test 1-1,bin,true,,5131,399,1,1,https://www.webstaurantstore.com/images/categories/new/commercialgasranges_md.jpg,30,0,0
